file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250629_130926.csv,13,0.1142829931699312,0.2221298217773437,4,4,5,5.073046644528707,2.590370038310744,0,132,0.0,0.0,5.076923076923077,59,High,0
gaze_log_20250629_102758.csv,7,0.0892343861716134,0.1111702919006347,4,1,2,9.54458995660146,6.820905140692576,1,128,0.0,0.0,4.285714285714286,65,High,0
gaze_log_20250628_105315.csv,25,0.1170523834228515,0.3747999668121338,8,7,10,2.898944586515426,2.7334573883713302,6,181,0.08,0.0608,4.44,60,High,1
gaze_log_20250628_131729.csv,3,0.1204099655151367,0.1804499626159668,2,0,1,23.27809500694275,12.263275146484377,0,36,0.0,0.0,1.3333333333333333,57,Mid,0
gaze_log_20250627_101516.csv,24,0.1005929509798685,0.1662399768829345,9,6,9,2.6962265139040738,2.342880175869264,6,75,0.0416666666666666,0.03125,3.2916666666666665,49,Mid,1
gaze_log_20250629_123625.csv,11,0.1462763006036931,0.4578697681427002,5,1,5,6.464061999320984,6.295023001069279,1,86,0.0,0.0,3.4545454545454546,72,High,0
gaze_log_20250629_132701.csv,8,0.1022550165653228,0.1393496990203857,3,1,4,9.903374331338066,3.4198463891634807,0,26,0.25,0.25,3.125,57,Mid,0
gaze_log_20250626_150126.csv,6,0.1456549564997355,0.3199200630187988,3,1,2,9.77798399925232,8.726410446959912,0,28,0.1666666666666666,0.1666666666666666,3.0,67,High,0
gaze_log_20250629_132926.csv,40,0.147773277759552,0.8335599899291992,14,7,19,1.8348628129714573,1.1488222673183284,12,181,0.05,0.0349999999999999,4.45,56,Mid,1
gaze_log_20250627_143650.csv,3,0.1573433876037597,0.1940701007843017,0,1,2,16.59771502017975,9.121735215187073,0,61,0.0,0.0,2.0,62,High,0
gaze_log_20250626_150907.csv,19,0.1169300204829165,0.1803400516510009,10,0,9,3.5054988861083984,5.601324094889763,4,41,0.0,0.0,3.684210526315789,55,Mid,0
gaze_log_20250629_144044.csv,3,0.1993433634440104,0.2359399795532226,1,0,2,18.04087495803833,1.775704860687256,0,19,0.0,0.0,4.0,40,Low,2
gaze_log_20250628_135558.csv,29,0.1688889717233592,0.6249301433563232,16,5,8,2.4247928517205373,1.8370964049964331,7,214,0.1379310344827586,0.1046373365041617,3.586206896551724,49,Mid,1
gaze_log_20250628_171124.csv,3,0.0925834973653157,0.1112701892852783,1,0,2,17.167029976844788,9.830459952354431,0,23,0.0,0.0,2.333333333333333,58,Mid,0
gaze_log_20250628_144028.csv,4,0.2253950238227844,0.3192000389099121,0,2,2,12.467569986979166,10.41795686322506,0,63,0.0,0.0,1.0,42,Low,2
gaze_log_20250628_114838.csv,4,0.1698524355888366,0.3339598178863525,2,0,2,9.885163386662802,12.73425902590053,0,26,0.0,0.0,2.25,51,Mid,2
